 select count(*) from tag, site, question, tag_question where site.site_name='scifi' and tag.name='steins-gate' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='superuser' and tag.name='oem' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='symfony-components' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='tex' and tag.name='strings' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='math' and tag.name='quadratic-residues' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='superuser' and tag.name='rules' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='faceted-search' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='dynamics-ax-2012-r2' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='security' and tag.name='url' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='askubuntu' and tag.name='.profile' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='microsoft-edge' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='susy-sass' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='fade' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='electronics' and tag.name='multiplier' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='sharepoint' and tag.name='task-list' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='android-actionbar' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='make-shared' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='rx-android' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='stomp' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='music' and tag.name='sight-reading' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='money' and tag.name='college' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='filenet-content-engine' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='beautifulsoup' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='vb6' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='askubuntu' and tag.name='apt' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='module' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='math' and tag.name='ring-theory' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='scope' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='askubuntu' and tag.name='drivers' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='msbuild' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='xamarin.forms' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='concurrency' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='struts2' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='azure-devops' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='hashmap' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='service' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='iterator' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='mapreduce' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='datatable' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='codereview' and tag.name='c#' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='serverfault' and tag.name='ubuntu' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='mathoverflow' and tag.name='nt.number-theory' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='physics' and tag.name='quantum-field-theory' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='architecture' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='delegates' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='redux' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='ado.net' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='geometry' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='mfc' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='combobox' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='flutter' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='google-drive-api' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='jquery' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='android' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='java' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='python' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
 select count(*) from tag, site, question, tag_question where site.site_name='stackoverflow' and tag.name='c#' and tag.site_id = site.site_id and question.site_id = site.site_id and tag_question.site_id = site.site_id and tag_question.question_id = question.id and tag_question.tag_id = tag.id
